Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
JDBC Request,200,1348,1531,1727,1755,1840,122,3095,24.500%,52.72871,75.03,0.00
总体,200,1348,1531,1727,1755,1840,122,3095,24.500%,52.72871,75.03,0.00
