Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
JDBC Request,150,1402,1405,1480,1507,1567,1106,1733,0.000%,61.02522,113.17,0.00
总体,150,1402,1405,1480,1507,1567,1106,1733,0.000%,61.02522,113.17,0.00
